OG 24V,,,,,,,,
KL,Kabel,Farbe,Ort,Bedeutung,IN,OUT,SPS-Name,Bemerkung
K01,I01,rot,Eltern,+24 Volt Br. zu I02/I03,,,,
K02,I01,blau,,Jalousie hoch,E0.0,,IELTERN_jal_hoch,
K03,I01,weiß,,Jalousie runter,E0.1,,IELTERN_jal_runter,
K04,I01,gelb,,Licht Decke/I02/I03,E0.2,,IELTERN_licht_decke,
K05,I01,weiß,,Licht West/I02,E0.3,,IELTERN_licht_west,
K06,I01,grün,,Licht Ost/I03,E0.4,,IELTERN_licht_ost,
K07,I01,weiß,,Steckdosen,E0.5,,IELTERN_steckdose,
K08,I01,braun,,signal w,E0.6,x,OELTERN_taster_licht,
K09,I01,weiß,,signal o,E0.7,,,
K10,I01,schwarz,,to be defined,E1.0,,,
K11,I01,weiß,,res,,,,
K12,I01,blau,,res,,,,
K13,I04,rot,Bad Spiegel,+24 Volt,,,,
K14,I04,blau,,Jalousie hoch,E1.1,,IBADsp_jal_hoch,
K15,I04,weiß,,Jalousie runter,E1.2,,IBADsp_jal_runter,
K16,I04,gelb,,Licht Decke,E1.3,,IBADsp_licht_decke,
K17,I04,weiß,,Licht Spiegel,E1.4,,IBADsp_licht_spiegel,
K18,I04,grün,,Licht Badewanne,E1.5,,IBADsp_licht_badew,
K19,I04,weiß,,Licht Dusche,E2.0,,IBADsp_licht_dusche,
K20,I04,braun,,pt1000,IW128,,CH1,
K21,I04,weiß,,n.b.,,,,
K22,I04,schwarz,,pt1000,IW128,,CH1,
K23,I04,weiß,,n.b. (Licht),,,out simatic taster beleuchtung,
K24,I04,blau,,n.b. (GND),,,masse taster beleuchtung,
K25,I05,rot,Bad Flur,+24 Volt,,,,
K26,I05,blau,,Licht Decke,E2.1,,IBADfl_jal_hoch,vorher Jalousie hoch
K27,I05,weiß,,Licht rest,E2.1,,IBADfl_jal_runter,vorher Jalousie runter
K28,I05,gelb,,res,E2.3,,IBADfl_licht_decke,vorher Licht Decke
K29,I05,weiß,,res,E2.4,,IBADfl_licht,vorher Licht rest
K30,I05,grün,,res,,,,
K31,I05,weiß,,n.b.,,,,
K32,I05,braun,,n.b.,,,,
K33,I06,rot,KZ Ost,+24 Volt,,,,
K34,I06,blau,,Jalousie Ost hoch,E2.5,,IKZO_jalO_hoch,
K35,I06,weiß,,Jalousie Ost runter,E2.6,,IKZO_jalO_runter,
K36,I06,gelb,,Jalousie Süd hoch,E2.7,,IKZO_jalS_hoch,
K37,I06,weiß,,Jalousie Süd runter,E3.0,,IKZO_jalS_runter,
K38,I06,grün,,Licht Decke,E3.1,,IKZO_licht_decke,
K39,I06,weiß,,Licht Galerie,E3.2,,IKZO_licht_galerie,
K40,I06,braun,,n.b.,,,,
K41,I06,weiß,,pt1000,IW130,,CH2,
K42,I06,schwarz,,n.b.,,,CH2,
K43,I06,weiß,,pt1000,IW130,,,
K44,I06,blau,,res,,,,
K45,I07,rot,KZ Ost Galerie,+24 Volt,,,,
K46,I07,schwarz,,Licht Galerie,E3.3,,IKZOgal_licht_galerie,
K47,I07,weiß,,Licht Decke,x,,IKZOgal_licht_decke,
K48,I07,gelb,,res,,,,
K49,I08,rot,KZ West,+24 Volt,,,,
K50,I08,blau,,Jalousie West hoch,E3.4,,IKZW_jalW_hoch,
K51,I08,weiß,,Jalousie West runter,E3.5,,IKZW_jalW_runter,
K52,I08,gelb,,Jalousie Süd hoch,E3.6,,IKZW_jalS_hoch,
K53,I08,weiß,,Jalousie Süd runter,E3.7,,IKZW_jalS_runter,
K54,I08,grün,,Licht Decke,E4.0,,IKZW_licht_decke,
K55,I08,weiß,,Licht Galerie,E4.1,,IKZW_licht_galerie,
K56,I08,braun,,,,,,
K57,I08,weiß,,,,,,
K58,I08,schwarz,,,,,,
K59,I08,weiß,,pt1000,,,CH01,über Verteiler UG1 (rot)
K60,I08,blau,,pt1000,,,CH01,über Verteiler UG1 (sw)
K61,I09,rot,KZ West Galerie,+24 Volt,,,,
K62,I09,schwarz,,Licht Galerie,E4.2,,IKZWgal_licht_galerie,
K63,I09,weiß,,Licht Decke,x,,IKZWgal_licht_decke,
K64,I09,gelb,,res,,,,
K65,I10,rot,Flur Mitte-West,+24 Volt,,,,
K66,I10,blau,,Jalousie Süd hoch,E4.3,,IFLUR_jal_hoch,
K67,I10,weiß,,Jalousie Süd runter,E4.4,,IFLUR_jal_runter,
K68,I10,gelb,,Licht Süd,E4.5,,IFLUR_licht_süd,
K69,I10,weiß,,Licht Mitte,E4.6,,IFLUR_licht_mitte,
K70,I10,grün,,res,E4.7,,,
K71,I10,weiß,,n.b.,,,,
K72,I10,braun,,n.b.,,,,
K73,I11,rot,Flur Nord,+24 Volt,,,,
K74,I11,blau,,BM MASSE,,,(E5.0) nicht aufgelegt,
K75,I11,weiß,,BewegungsMelder,E5.1,,IFLUR_nord_bm,
K76,I11,gelb,,BM,,,,
K77,I11,weiß,,res,,,,
K78,I11,grün,,res,,,,
K79,I11,weiß,,res,,,,
K80,I11,braun,,res,,,,
K81,I12,rot,Wetterstation,RS485 braun,,,,
K82,I12,schwarz,,RS485 schwarz,,,,
K83,I12,weiß,,RS485 braun,,,,
K84,I12,gelb,,RS485 grün/gelb,,,,
,,,,,,,,
,,rot,,Verteiler UG1,,,pt1000 CH1,
,,schwarz,,Verteiler UG1,,,pt1000 CH1,
,,weiß,,Verteiler UG1,,,,
,,gelb,,Verteiler UG1,,,,
